confidence,validation
0.9946797,1
0.97554684,1
0.9918027,1
0.8319588,1
0.9980108,1
0.997155,1
0.9813149,1
0.99850565,1
0.99608445,1
0.99751896,1
0.997023,1
0.9917166,1
0.9994956,1
0.8381877,1
0.98470986,1
0.9937353,1
0.99654925,1
0.9994459,1
0.999258,1
0.9938321,1
0.9785604,1
0.99430144,1
0.99274254,1
0.9988712,1
0.7516474,1
0.9991288,1
0.9959825,1
0.99820167,1
0.99013746,1
0.25178385,0
0.99855095,1
0.98914635,1
0.9863272,1
0.74094397,1
0.9993096,1
0.99627393,1
0.9966903,1
0.5503998,0
0.9224074,1
0.52252626,0
0.9400096,1
0.9127567,1
0.99904037,1
0.9994761,1
0.9991598,1
0.99785656,1
0.97945744,1
0.99679327,1
0.97836137,1
0.9990597,1
0.9987949,1
0.9973455,1
0.98525095,1
0.98659277,1
0.997551,1
0.99649775,1
0.99945873,1
0.8031326,1
0.9995225,1
0.9994345,1
0.9960923,1
0.41028768,0
0.88185644,1
0.9984938,1
0.7986673,1
0.9980242,1
0.9855902,1
0.9966669,1
0.98651165,1
0.9995258,1
0.99979806,1
0.998796,1
0.99734956,1
0.9976216,1
0.9978595,1
0.9767308,1
0.99847925,1
0.65678287,0
0.993057,1
0.9993031,1
0.99698657,1
0.96975946,1
0.9969634,1
0.9987204,1
0.9986876,1
0.9663105,1
0.9985938,1
0.99253297,1
0.9974764,1
0.97605777,1
0.99575627,1
0.99940455,1
0.9942061,1
0.95790386,1
0.9981363,1
0.9987055,1
0.99564314,1
0.99560976,1
0.99806607,1
0.32770061,1
0.9824388,1
0.95738643,1
0.99889016,1
0.971364,1
0.4981519,0
0.5914047,0
0.99913096,1
0.98817587,1
0.9956963,1
0.9995794,1
0.9991472,1
0.9991421,1
0.9915743,1
0.9962754,1
0.96692324,1
0.86904263,1
0.9961385,1
0.99770594,1
0.99660313,1
0.9975364,1
0.99306035,1
0.9840203,1
0.9996767,1
0.9990761,1
0.9205904,1
0.99770737,1
0.9939265,1
0.9650358,1
0.9993337,1
0.9038795,1
0.99010515,1
0.9971301,1
0.9929203,1
0.9701829,1
0.99917674,1
0.99623895,1
0.9965881,1
0.9915516,1
0.99957126,1
0.9939594,1
0.99921954,1
0.9985015,1
0.9875865,1
0.17851448,0
0.99245167,1
0.91851306,1
0.21037686,1
0.99989223,1
0.9809462,1
0.99696857,1
0.99632096,1
0.99502,1
0.9980204,1
0.99355584,1
0.9996008,1
0.98942304,1
0.9858941,1
0.99950814,1
0.9904249,1
0.9977572,1
0.99802375,1
0.96896374,1
0.99928224,1
0.9983666,1
0.98862624,1
0.9426098,1
0.9972228,1
0.99968106,1
0.9845629,1
0.99828744,1
0.99659765,1
0.9964244,1
0.99844176,1
0.99967873,1
0.9985456,1
0.9997876,1
0.9912744,1
0.8240671,1
0.9941506,1
0.9988394,1
0.99041754,1
0.9998629,1
0.96453273,1
0.9994004,1
0.99925727,1
0.9953629,1
0.9891119,1
0.9466884,1
0.9995165,1
0.9980509,1
0.99561375,1
0.9989085,1
0.99613994,1
0.9984626,1
0.9998605,1
0.9880165,1
0.99908566,1
0.99946225,1
0.6329291,0
0.5000812,1
0.99479103,1
0.99939287,1
0.9991038,1
0.974288,1
0.9996075,1
0.99893206,1
0.9361384,1
0.979331,1
0.99472725,1
0.9878957,1
0.9973483,1
0.99814177,1
0.99664664,1
0.9969535,1
0.94108695,1
0.9951527,1
0.9933846,1
0.9985056,1
0.9965699,1
0.99778867,1
0.9353535,1
0.99970716,1
0.99362755,1
0.9988287,1
0.9955354,1
0.99588704,1
0.9991865,1
0.8275411,1
0.9985663,1
0.39481056,0
0.9878172,1
0.99826527,1
0.97739005,1
0.99825764,1
0.9774809,1
0.99571276,1
0.85941243,1
0.99950784,1
0.9967241,1
0.99835825,1
0.9962298,1
0.9988628,1
0.99950266,1
0.99934745,1
0.99916077,1
0.999665,1
0.995959,1
0.99219084,1
0.9996535,1
0.9967777,1
0.9987124,1
0.997969,1
0.9998388,1
0.9894911,1
0.972093,1
0.99952793,1
0.99809897,1
0.9920666,1
0.99596286,1
0.99951667,1
0.98967195,1
0.9954431,1
0.9956565,1
0.99889904,1
0.98697186,1
0.9991553,1
0.9979192,1
0.95605016,1
0.99944544,1
0.9974451,1
0.9971137,1
0.99449337,1
0.9995329,1
0.9752152,1
0.99980456,1
0.99955773,1
0.99491715,1
0.9954633,1
0.99549854,1
0.7642889,0
0.9957255,1
0.99843276,1
0.9981914,1
0.999336,1
0.99745774,1
0.45146602,1
0.9996567,1
0.9946304,1
0.99922216,1
0.9945334,1
0.9987946,1
0.99887097,1
0.8873482,1
0.9964011,1
0.9824302,1
0.99803305,1
0.99894387,1
0.99731326,1
0.9997617,1
0.9868865,1
0.9994228,1
0.9936969,1
0.9909334,1
0.615479,0
0.78691363,1
0.9942057,1
0.54527986,0
0.98244864,1
0.995957,1
0.9088875,1
0.9994025,1
0.09631586,0
0.9890442,1
0.9986841,1
0.99785495,1
0.9951614,1
0.99765563,1
